Company,Amount,Year
Seniors Coalition,6331815,1998
Eli Lilly & Co,5160000,1998
Merck & Co,5000000,1998
Glaxo Wellcome Inc,3120000,1998
Pharmaceutical Research & Manufacturers of America,3120000,1998
Bristol-Myers Squibb,2880579,1998
Roche Group,2738000,1998
SmithKline Beecham,2680000,1998
Health Industry Manufacturers Assn,2470000,1998
Amgen Inc,2360000,1998
American Home Products,2350000,1998
Warner-Lambert,1980000,1998
Abbott Laboratories,1877000,1998
Biotechnology Industry Organization,1704000,1998
Schering-Plough Corp,1650000,1998
Pharmacia & Upjohn,1585140,1998
Johnson & Johnson,1580000,1998
Allegiance Corp,1300000,1998
Novartis AG,1170000,1998
Baxter International,1100000,1998
Zeneca Inc,1056000,1998
Hoechst Corp,840000,1998
Nonprescription Drug Manufacturers Assn,820000,1998
Sanofi,760000,1998
"Becton, Dickinson & Co",620000,1998
Tyco International,616000,1998
Genzyme Corp,589000,1998
Bayer Corp,480000,1998
Bayer CropScience,460000,1998
Allergan Inc,370000,1998
DuPont Co,350000,1998
Generic Pharmaceutical Assn,290000,1998
Council on Radionuclides & Radiopharm,240000,1998
Barr Laboratories,234720,1998
AdvancePCS,220000,1998
GlaxoSmithKline,220000,1998
Cook Group,215000,1998
American Orthotic & Prosthetic Assn,200000,1998
Biovail Corp International,200000,1998
Rhone-Poulenc Inc,200000,1998
American Herbal Products Assn,195000,1998
Michigan Biotechnology Institute,185000,1998
Nestle SA,180000,1998
Mallinckrodt Inc,180000,1998
Academy of Radiology Research,180000,1998
St Jude Medical,180000,1998
Vivid Technologies,180000,1998
Astra AB,176000,1998
Metabolife International,160000,1998
ICN Pharmaceuticals,160000,1998
Vivus Inc,160000,1998
UroLogix,160000,1998
Transkaryotic Therapies,140000,1998
Guidant Corp,140000,1998
Hoechst AG,140000,1998
Indiana Medical Device Mfrs Council,140000,1998
Pharmanex,140000,1998
Medtronic Inc,140000,1998
Centocor Inc,140000,1998
Cephalon Inc,140000,1998
CIFLA,140000,1998
Coalition of Gelatin Capsule Mfrs,140000,1998
National Nutritional Foods Assn,130000,1998
Microbran Products,120000,1998
National Assn for Medical Equipment Suppliers,120000,1998
Novopharm USA,120000,1998
Health Industry Distributors Assn,120000,1998
Genome Action Coalition,120000,1998
Cell Therapeutics,120000,1998
Sunscreen Coalition,120000,1998
Psychemedics Corp,115000,1998
Caremark Rx,110000,1998
Colgate-Palmolive Co,100000,1998
Biogen Idec,100000,1998
Alliance USA,100000,1998
Perrigo Co,100000,1998
National Wholesale Druggists Assn,100000,1998
Weider Nutrition International,100000,1998
Roche Holdings,100000,1998
Sofamor Danek Group,100000,1998
Polymedica Corp,90000,1998
Medical Device Manufacturers Assn,90000,1998
Herbalife International,80000,1998
Research Corporation Technologies,80000,1998
Nu Skin Enterprises,80000,1998
National Assn of Pharmaceutical Mfrs,80000,1998
Serono Inc,80000,1998
Utah Natural Products Alliance,80000,1998
Twin Laboratories,80000,1998
Shaklee Corp,70000,1998
SMS Corp,66000,1998
MultiDimensional Imaging,60000,1998
Aksys Ltd,60000,1998
American Assn of Pharmaceutical Distrib,60000,1998
Anesta Corp,60000,1998
Coulter Pharmaceutical,60000,1998
Incyte Pharmaceuticals,57000,1998
DeRoyal Industries,41000,1998
Council for Responsible Nutrition,40000,1998
D&F; Industries,40000,1998
Fischer Imaging Corp,40000,1998
Calspan-Univ of Buffalo Research Center,40000,1998
CH Boehringer Sohn,40000,1998
Astra Merck,40000,1998
Agouron Pharmaceuticals,40000,1998
Lifecell Corp,40000,1998
Metagenics,40000,1998
McKesson Corp,40000,1998
Inter-Cal Corp,40000,1998
National Alliance for Infusion Therapy,40000,1998
Natrol Inc,40000,1998
Neopharm Inc,40000,1998
Respironics Inc,40000,1998
Public Hospital Pharmacy Coalition,40000,1998
Schering AG,40000,1998
Thermedics Inc,40000,1998
Thermo Fisher Scientific,40000,1998
Orphan Medical,30000,1998
Pathogenesis,30000,1998
Amdec Policy Group,30000,1998
Constellation Technology,30000,1998
Enchira Biotechnology Corp,30000,1998
Biotechnology Research & Devel Corp,22000,1998
Healthdyne Technologies,22000,1998
Inamed Corp,20000,1998
Integra LifeSciences,20000,1998
Kensey Nash Corp,20000,1998
Ortho Concepts,20000,1998
Ostex International,20000,1998
National Lithotripsy Assn,20000,1998
Mobile X-Ray Providers of America,20000,1998
Boston Scientific Corp,20000,1998
Biopure Corp,20000,1998
Avax Technologies,20000,1998
Corp for Advancement of Medical Tech,20000,1998
